Input_gray_level,gamma_0_4,gamma_2_5
0,0,0
1,27.7922756312033,0.000245578153366725
2,36.6721275537535,0.00138919982045505
3,43.1293199273186,0.00382818454974099
4,48.3891624120504,0.00785850090773521
5,52.9068749712176,0.0137282361179217
6,56.909478830352,0.0216554820380434
7,60.528975648194,0.0318371973407029
8,63.8498825983749,0.0444543942545616
9,66.9300442351889,0.0596754912681142
10,69.811040058794,0.0776586308216999
11,72.5239053309194,0.0985533615625196
12,75.092507514612,0.122501905591712
13,77.5356530617228,0.149640141472475
14,79.8684621987718,0.180098385068683
15,82.1032997537773,0.214002022090882
16,84.2504251904763,0.251472029047527
17,86.3184586637859,0.292625408380116
18,88.3147228367116,0.337575556370577
19,90.2454985820277,0.386432577529347
20,92.1162196168622,0.439303555773493
21,93.9316229532804,0.496292790282247
22,95.6958668042926,0.557502002156698
23,97.4126241325391,0.623030516707772
24,99.0851577053035,0.692975425217389
25,100.716380924107,0.767431729271017
26,102.308907581886,0.846492470183213
27,103.865092908337,0.930248845587061
28,105.387067692545,1.01879031490249
29,106.876766854227,1.11220469511463
30,108.335953525667,1.21057824806477
31,109.76623947483,1.31399576027127
32,111.169102524813,1.42254061614597
33,112.545901490844,1.53629486534691
34,113.897889052589,1.6553392849045
35,115.226222899122,1.77975343667218
36,116.531975420756,1.90961572057966
37,117.816142172056,2.0450034241062
38,119.07964929063,2.18599276833918
39,120.323360024471,2.3326589509391
40,121.548080494943,2.4850761862944
41,122.754564801664,2.64331774311689
42,123.94351955859,2.80745597970056
43,125.115607936613,2.97756237704212
44,126.271453276533,3.15370757000063
45,127.411642326745,3.33596137665496
46,128.536728152032,3.5243928260018
47,129.647232753277,3.71907018412246
48,130.743649432328,3.92006097893477
49,131.826444931563,4.12743202363455
50,132.896061373775,4.34124943892204
51,133.952918024592,4.56157867409957
52,134.997412896831,4.78848452711921
53,136.029924213704,5.02203116365201
54,137.050811745713,5.26228213524455
55,138.060418034262,5.50930039662271
56,139.059069513472,5.76314832219785
57,140.047077540305,6.02388772182565
58,141.024739341982,6.29157985586457
59,141.992338888635,6.56628544957632
60,142.950147698243,6.84806470690822
61,143.898425580158,7.1369773236938
62,144.83742132283,7.4330825003055
63,145.767373330735,7.7364389537908
64,146.688510215014,8.04710492952085
65,147.601051341856,8.36513821237851
66,148.505207342235,8.69059613751097
67,149.401180586282,9.0235356006703
68,150.289165625224,9.36401306816371
69,151.169349603561,9.71208458643377
70,152.041912643872,10.0678057912877
71,152.907028206441,10.4312319167933
72,153.764863425681,10.8024178038585
73,154.615579425145,11.1814179085092
74,155.459331612772,11.5682863098816
75,156.296269957849,11.9630767179406
76,157.126539251048,12.3658424809391
77,157.95027934879,12.7766365926291
78,158.767625403065,13.1955116992363
79,159.578708077742,13.6225201062091
80,160.383653752338,14.0577137847518
81,161.182584714111,14.5011443781518
82,161.97561933928,14.9528632079094
83,162.762872264118,15.4129212796795
